Latitude,Longitude
35.1545202,126.9193439
35.1918738,126.6645881
35.1360512,126.8391414
35.1482524,126.9028912
35.1016722,126.7593516
35.1440815,126.9151733
35.1597343,126.7153636
35.1515796,126.9342547
35.2188323,126.8803694
35.1284743,126.9339956
35.1260247,126.8964143
35.2237846,126.8600669
35.1127373,126.7130625
35.1457333,126.8941988
35.1357353,126.9241961
35.1681501,126.8100458
35.1373337,126.9170981
35.182602,126.6873591
35.1490889,126.9033097
35.2307974,126.8589039
35.0943776,126.8364317
35.1734288,126.8141243
35.1259449,126.9341953
35.1413508,126.9010708
35.2307974,126.8589039
35.1518129,126.6600442
35.1340148,126.8931647
35.1452512,126.9050703
35.1706227,126.8095713
35.1139005,126.9037717
35.1515292,126.9006602
35.2129041,126.8404606
35.1700867,126.6934318
35.0938227,126.8369143
35.2129041,126.8404606
35.1000279,126.7700218
35.1464597,126.9017039
35.1327179,126.7970327
35.1518129,126.6600442
35.1235338,126.8944575
35.1628825,126.8912304
35.1477206,126.9269732
35.1352811,126.8950592
35.1437409,126.8950275
35.1456212,126.8918404
35.1602219,126.9202578
35.1544888,126.8146365
35.1267164,126.8962606
35.0862054,126.9536428
35.1567393,126.7154435
35.1465871,126.9062728
35.1469015,126.8997042
35.1319781,126.9327572
35.2188323,126.8803694
35.1734288,126.8141243
35.2073029,126.8104488
35.1373337,126.9170981
35.1184123,126.6836246
35.2119282,126.8141112
35.2244076,126.8256366
35.1499427,126.9147507
35.1031863,126.884273
35.2244076,126.8256366
35.1597343,126.7153636
35.1332072,126.895919
35.1360748,126.7691344
35.1398975,126.8934356
35.146301,126.8916803
35.1530518,126.9305547
35.1779943,126.8219069
35.201842,126.8274132
35.1417794,126.8889698
35.1475659,126.9071388
35.1360748,126.7691344
35.1346508,126.8936749
35.1235338,126.8944575
35.143329,126.9093414
35.1238449,126.757291
35.1299949,126.852779
35.1471653,126.9040122
35.1713485,126.8055872
35.0986618,126.7930195
35.1527533,126.9152798
35.1345741,126.9064225
35.1306934,126.8971538
35.1437409,126.8950275
35.1478279,126.9274487
35.143016,126.7945435
35.1501842,126.919778
35.1573192,126.934433
35.2158994,126.8731091
35.1511733,126.9122305
35.1281583,126.8429315
35.1358459,126.9026424
35.1457333,126.8941988
35.2028506,126.8030739
35.1379235,126.9038105
35.2028506,126.8030739
35.1139005,126.9037717
35.197117,126.8370663
35.1314141,126.8926424
35.1534413,126.8134995
35.1078032,126.820492
35.1438317,126.9095449
35.2145962,126.8083594
35.1682117,126.8036743
35.1031863,126.884273
35.1078032,126.820492
35.2244076,126.8256366
35.1682117,126.8036743
35.112131,126.9026155
35.1476374,126.790654
35.1343012,126.9194116
35.1360748,126.7691344
35.1425446,126.9098809
35.1539536,126.9301824
35.1665839,126.7421827
35.0938227,126.8369143
35.1640188,126.9184489
35.1400383,126.8950748
35.1542631,126.9242502
35.1075273,126.8211957
35.1947256,126.8394773
35.073508,126.817132
35.1514466,126.784208
35.1602219,126.9202578
35.1440815,126.9151733
35.1361797,126.8944963
35.0995511,126.9052151
35.1225096,126.9093754
35.2158994,126.8731091
35.1121305,126.7722422
35.1602219,126.9202578
35.1548302,126.9157762
35.1373337,126.9170981
35.1581647,126.716127
35.1758494,126.7355297
35.1271841,126.8960869
35.1758652,126.8823558
35.1442828,126.910099
35.1551936,126.8080481
35.1440815,126.9151733
35.1592801,126.93145
35.1508689,126.9277012
35.1357353,126.9241961
35.1542631,126.9242502
35.1542631,126.9242502
35.1541092,126.9244745
35.1375522,126.7994153
35.1483587,126.9154424
35.1343012,126.9194116
35.1333417,126.7798145
35.1311907,126.9134425
35.1490889,126.9033097
35.1495275,126.9258789
35.1144762,126.8302395
35.1515292,126.9006602
35.1499569,126.9107044
35.1728141,126.807949
35.1638645,126.6699062
35.2201986,126.849363
35.1280962,126.931102
35.1539913,126.9187428
35.1400383,126.8950748
35.2119282,126.8141112
35.1706227,126.8095713
35.1592801,126.93145
35.1494077,126.903109
35.1184123,126.6836246
35.1360512,126.8391414
35.1400383,126.8950748
35.1319781,126.9327572
35.1779943,126.8219069
35.1526199,126.9360694
35.1098923,126.8864838
35.2028506,126.8030739
35.1465871,126.9062728
35.1692296,126.8107744
35.1456212,126.8918404
35.1030689,126.9352655
35.1522064,126.8085945
35.2073029,126.8104488
35.0995511,126.9052151
35.1457973,126.8985515
35.1628692,126.9197075
35.1270513,126.9130971
35.1706227,126.8095713
35.1385609,126.7957142
35.1098923,126.8864838
35.1638645,126.6699062
35.1452512,126.9050703
35.1514483,126.915171
35.1449761,126.7985595
35.1416715,126.7938586
35.132463,126.7929785
35.2244076,126.8256366
35.1460006,126.8910915
35.1734288,126.8141243
35.2038994,126.8371951
35.1267164,126.8962606
35.1161325,126.6802655
35.1449761,126.7985595
35.1728141,126.807949
35.1511733,126.9122305
35.1628825,126.8912304
35.1494077,126.903109
35.150094,126.8218634
35.1314545,126.9388644
35.2188323,126.8803694
35.1244343,126.7610663
35.1280962,126.931102
35.1552945,126.9168799
35.1501842,126.919778
35.1490889,126.9033097
35.136732,126.8017053
35.129409,126.940023
35.195155,126.8515633
35.1754171,126.8075516
35.1457973,126.8985515
35.1385609,126.7957142
35.1499569,126.9107044
35.1624871,126.6946678
35.1357353,126.9241961
35.1514483,126.915171
35.1360512,126.8391414
35.2244076,126.8256366
35.1446603,126.9020292
35.1471653,126.9040122
35.1426692,126.9001527
35.1031863,126.884273
35.1414496,126.8277569
35.1560186,126.7543319
35.1628825,126.8912304
35.1138643,126.8494034
35.1494077,126.903109
35.2148692,126.8727123
35.1551936,126.8080481
35.1244343,126.7610663
35.1490889,126.9033097
35.1360748,126.7691344
35.1758494,126.7355297
35.1308391,126.903546
35.1438317,126.9095449
35.1469015,126.8997042
35.2028506,126.8030739
35.1387311,126.9002419
35.1716559,126.6959078
35.1095441,126.8844519
35.1542631,126.9242502
35.2137341,126.7993805
35.13639,126.9023505
35.1361797,126.8944963
35.1259449,126.9341953
35.2148692,126.8727123
35.1300588,126.9337509
35.1270513,126.9130971
35.1444069,126.9153571
35.1947256,126.8394773
35.2192356,126.8470325
35.1700867,126.6934318
35.1581647,126.716127
35.1465871,126.9062728
35.0943776,126.8364317
35.1350715,126.8984605
35.1530518,126.9305547
35.1406017,126.9003854
35.1259449,126.9341953
35.1525645,126.9196087
35.1753107,126.8047869
35.1706227,126.8095713
35.1664718,126.8548847
35.1267164,126.8962606
35.1000279,126.7700218
35.2244076,126.8256366
35.2108425,126.8421566
35.1527533,126.9152798
35.1109666,126.6985831
35.1918738,126.6645881
35.2188323,126.8803694
35.1307588,126.9136362
35.1016722,126.7593516
35.1573192,126.934433
35.1734288,126.8141243
35.1515796,126.9342547
35.1465871,126.9062728
35.2244076,126.8256366
35.1139005,126.9037717
35.1326352,126.9308724
35.2028506,126.8030739
35.1522064,126.8085945
35.1181573,126.8755466
35.13639,126.9023505
35.1139005,126.9037717
35.1728141,126.807949
35.1244343,126.7610663
35.2244076,126.8256366
35.143016,126.7945435
35.1075273,126.8211957
35.1324151,126.7903677
35.1548302,126.9157762
35.146301,126.8916803
35.1376083,126.8917455
35.1414496,126.8277569
35.1522594,126.9253775
35.1675125,126.809116
35.197117,126.8370663
35.0758182,126.8209723
35.1497352,126.924849
35.1299949,126.852779
35.1602219,126.9202578
35.1475659,126.9071388
35.1638645,126.6699062
35.1499427,126.9147507
35.1358459,126.9026424
35.1398975,126.8934356
35.143016,126.7945435
35.0995511,126.9052151
35.1449761,126.7985595
35.0938227,126.8369143
35.1000279,126.7700218
35.2237846,126.8600669
35.1779943,126.8219069
35.1567393,126.7154435
35.1692296,126.8107744
35.1525645,126.9196087
35.2073029,126.8104488
35.1664718,126.8548847
35.13639,126.9023505
35.1758652,126.8823558
35.1372442,126.7928747
35.1031863,126.884273
35.1016722,126.7593516
35.2113009,126.7891187
35.1324907,126.9293038
35.1548302,126.9157762
35.1497352,126.924849
35.1597343,126.7153636
35.2145962,126.8083594
35.1235338,126.8944575
35.0758182,126.8209723
35.1280962,126.931102
35.2244076,126.8256366
35.1514483,126.915171
35.129409,126.940023
35.1193349,126.8958784
35.1581399,126.9304922
35.2129041,126.8404606
35.1271841,126.8960869
35.2244076,126.8256366
35.136732,126.8017053
35.2509222,126.7500811
35.109971,126.8778122
35.1363594,126.7174641
35.1138643,126.8494034
35.1352811,126.8950592
35.1478279,126.9274487
35.1940461,126.805887
35.1373337,126.9170981
35.1457333,126.8941988
35.1319781,126.9327572
35.1440815,126.9151733
35.1716559,126.6959078
35.1139005,126.9037717
35.1476374,126.790654
35.1316857,126.9357656
35.1499569,126.9107044
35.1573192,126.934433
35.1524799,126.9235033
35.1624871,126.6946678
35.1469015,126.8997042
35.1376083,126.8917455
35.1281583,126.8429315
35.0560514,126.7833532
35.073508,126.817132
35.1490889,126.9033097
35.1413508,126.9010708
35.1444069,126.9153571
35.197117,126.8370663
35.1490889,126.9033097
35.1327179,126.7970327
35.1308587,126.9334316
35.150094,126.8218634
35.145964,126.8946379
35.1716559,126.6959078
35.1567393,126.7154435
35.2028506,126.8030739
35.1425446,126.9098809
35.1364019,126.9271929
35.1675125,126.809116
35.1317112,126.7872725
35.1476374,126.790654
35.1515292,126.9006602
35.1407776,126.7686564
35.1327179,126.7970327
35.1320035,126.7619255
35.1438317,126.9095449
35.1862626,126.7263688
35.168693,126.8160002
35.1379235,126.9038105
35.112131,126.9026155
35.1413508,126.9010708
35.1244343,126.7610663
35.150504,126.9186235
35.1181573,126.8755466
35.1387311,126.9002419
35.1476374,126.790654
35.1452512,126.9050703
35.1098923,126.8864838
35.1144762,126.8302395
35.1284743,126.9339956
35.1542631,126.9242502
35.1406017,126.9003854
35.2119282,126.8141112
35.1364019,126.9271929
35.1193349,126.8958784
35.1361797,126.8944963
35.1469309,126.8886594
35.1328028,126.9320618
35.201842,126.8274132
35.1368718,126.7972045
35.1250511,126.7577539
35.1354041,126.908802
35.1758494,126.7355297
35.1324151,126.7903677
35.2148692,126.8727123
35.1500217,126.9002521
35.1326352,126.9308724
35.1078032,126.820492
35.129926,126.9332519
35.2188323,126.8803694
35.1475659,126.9071388
35.2042805,126.8714955
35.129478,126.9340101
35.1524799,126.9235033
35.0995511,126.9052151
35.1373337,126.9170981
35.1403185,126.8891546
35.1379235,126.9038105
35.1375522,126.7994153
35.182602,126.6873591
35.1398975,126.8934356
35.2119282,126.8141112
35.1458416,126.9114894
35.1387311,126.9002419
35.1334508,126.9210401
35.1240227,126.8570925
35.1334508,126.9210401
35.15323,126.9266367
35.1330504,126.907003
35.1250511,126.7577539
35.1225096,126.9093754
35.1628692,126.9197075
35.1457973,126.8985515
35.1368718,126.7972045
35.1476374,126.790654
35.1422708,126.9097301
35.143329,126.9093414
35.1469322,126.9030353
35.1311907,126.9134425
35.1281583,126.8429315
35.0560514,126.7833532
35.1592801,126.93145
35.1918738,126.6645881
35.1184123,126.6836246
35.1602219,126.9202578
35.168693,126.8160002
35.1333417,126.7798145
35.1862626,126.7263688
35.1563323,126.9338018
35.1400383,126.8950748
35.2244076,126.8256366
35.1692296,126.8107744
35.1681501,126.8100458
35.1522594,126.9253775
35.1514466,126.784208
35.2108627,126.6868377
35.166079,126.7039595
35.1464953,126.9032863
35.1460006,126.8910915
35.1030689,126.9352655
35.1440815,126.9151733
35.1407776,126.7686564
35.2113009,126.7891187
35.1499569,126.9107044
35.1479964,126.8932956
35.1075273,126.8211957
35.1465871,126.9062728
35.1157766,126.8307199
35.1361797,126.8944963
35.1327092,126.9304186
35.1542631,126.9242502
35.1181573,126.8755466
35.166079,126.7039595
35.1515292,126.9006602
35.1482524,126.9028912
35.1514466,126.784208
35.1495275,126.9258789
35.1949558,126.8279444
35.1478279,126.9274487
35.1664718,126.8548847
35.1560186,126.7543319
35.1434288,126.7951817
35.2509222,126.7500811
35.1440815,126.9151733
35.1477206,126.9269732
35.1597343,126.7153636
35.2509222,126.7500811
35.1567393,126.7154435
35.1346508,126.8936749
35.2042805,126.8714955
35.1497352,126.924849
35.2108425,126.8421566
35.2201986,126.849363
35.1758494,126.7355297
35.1514483,126.915171
35.1387311,126.9002419
35.1259449,126.9341953
35.1127373,126.7130625
35.1127373,126.7130625
35.1949558,126.8279444
35.1525645,126.9196087
35.2158994,126.8731091
35.1320035,126.7619255
35.1452512,126.9050703
35.1446603,126.9020292
35.1406644,126.9019909
35.2509222,126.7500811
35.1479429,126.9125855
35.1524799,126.9235033
35.1499427,126.9147507
35.2244076,126.8256366
35.1407776,126.7686564
35.146301,126.8916803
35.1360748,126.7691344
35.1758494,126.7355297
35.1713485,126.8055872
35.1098923,126.8864838
35.1260247,126.8964143
35.1490889,126.9033097
35.1325808,126.9335003
35.1463132,126.9075102
35.1232633,126.921302
35.1457973,126.8985515
35.1758494,126.7355297
35.1358459,126.9026424
35.1422708,126.9097301
35.1624871,126.6946678
35.0879182,126.8655494
35.1568976,126.8098951
35.1340148,126.8931647
35.1144762,126.8302395
35.2137341,126.7993805
35.1373337,126.9170981
35.1486421,126.9298594
35.1271841,126.8960869
35.136732,126.8017053
35.1434288,126.7951817
35.1539536,126.9301824
35.1365649,126.9070214
35.150094,126.8218634
35.1387311,126.9002419
35.1138643,126.8494034
35.2244076,126.8256366
35.1457333,126.8941988
35.1431749,126.891644
35.1316857,126.9357656
35.1464597,126.9017039
35.1406017,126.9003854
35.1500217,126.9002521
35.197117,126.8370663
35.2073029,126.8104488
35.1368718,126.7972045
35.1581647,126.716127
35.13639,126.9023505
35.2148692,126.8727123
35.1515292,126.9006602
35.1225096,126.9093754
35.2244076,126.8256366
35.1121305,126.7722422
35.129478,126.9340101
35.1692296,126.8107744
35.1426692,126.9001527
35.1434288,126.7951817
35.1357353,126.9241961
35.1592801,126.93145
35.1589477,126.9306216
35.1706227,126.8095713
35.1753107,126.8047869
35.1949558,126.8279444
35.1479964,126.8932956
35.0758182,126.8209723
35.1490889,126.9033097
35.1522594,126.9253775
35.1469015,126.8997042
35.1161325,126.6802655
35.1354041,126.908802
35.1375522,126.7994153
35.1581399,126.9304922
35.2119282,126.8141112
35.1345741,126.9064225
35.150504,126.9186235
35.1499569,126.9107044
35.1379235,126.9038105
35.1836458,126.8530033
35.1345741,126.9064225
35.1139005,126.9037717
35.1078032,126.820492
35.1486421,126.9298594
35.1526199,126.9360694
35.1457973,126.8985515
35.1716559,126.6959078
35.1309299,126.9428456
35.0995511,126.9052151
35.0862054,126.9536428
35.1213018,126.8648769
35.1431749,126.891644
35.1971756,126.8401002
35.1240227,126.8570925
35.0758182,126.8209723
35.1567393,126.7154435
35.1414496,126.8277569
35.1350715,126.8984605
35.1121305,126.7722422
35.182602,126.6873591
35.1477206,126.9269732
35.1300588,126.9337509
35.1314545,126.9388644
35.1193349,126.8958784
35.1495275,126.9258789
35.1947256,126.8394773
35.1437409,126.8950275
35.146301,126.8916803
35.1469322,126.9030353
35.2148692,126.8727123
35.1438317,126.9095449
35.1552945,126.9168799
35.1545202,126.9193439
35.073508,126.817132
35.1328052,126.7621561
35.1406017,126.9003854
35.1238449,126.757291
35.0560514,126.7833532
35.1479429,126.9125855
35.131251,126.9172098
35.1244343,126.7610663
35.1518129,126.6600442
35.1259449,126.9341953
35.1486421,126.9298594
35.1522594,126.9253775
35.150094,126.8218634
35.1406017,126.9003854
35.143016,126.7945435
35.1306934,126.8971538
35.1161325,126.6802655
35.2244076,126.8256366
35.1511733,126.9122305
35.2145962,126.8083594
35.1345741,126.9064225
35.146301,126.8916803
35.1551936,126.8080481
35.1638645,126.6699062
35.1552945,126.9168799
35.1361797,126.8944963
35.1514466,126.784208
35.1352811,126.8950592
35.1365649,126.9070214
35.1628692,126.9197075
35.1552945,126.9168799
35.1592801,126.93145
35.1327179,126.7970327
35.1544888,126.8146365
35.2237846,126.8600669
35.1304007,126.9135198
35.2201986,126.849363
35.1340148,126.8931647
35.112131,126.9026155
35.1490889,126.9033097
35.1426692,126.9001527
35.1095441,126.8844519
35.1456212,126.8918404
35.1324151,126.7903677
35.1434288,126.7951817
35.1360512,126.8391414
35.1444069,126.9153571
35.197117,126.8370663
35.2244076,126.8256366
35.1343012,126.9194116
35.0986618,126.7930195
35.1314545,126.9388644
35.1360512,126.8391414
35.1332072,126.895919
35.1515292,126.9006602
35.1836458,126.8530033
35.2129041,126.8404606
35.1431749,126.891644
35.1267164,126.8962606
35.1949558,126.8279444
35.1638645,126.6699062
35.1368718,126.7972045
35.1527533,126.9152798
35.2237846,126.8600669
35.1539913,126.9187428
35.1469322,126.9030353
35.1947256,126.8394773
35.131251,126.9172098
35.1949558,126.8279444
35.1240227,126.8570925
35.130785,126.9342185
35.1539994,126.9194559
35.1440815,126.9151733
35.182602,126.6873591
35.1457333,126.8941988
35.1486421,126.9298594
35.13639,126.9023505
35.1515796,126.9342547
35.1270513,126.9130971
35.1754171,126.8075516
35.1469322,126.9030353
35.1728141,126.807949
35.166079,126.7039595
35.1317112,126.7872725
35.1398975,126.8934356
35.1270513,126.9130971
35.1590227,126.9304014
35.1560186,126.7543319
35.1334508,126.9210401
35.1078032,126.820492
35.1522064,126.8085945
35.1524414,126.9314007
35.1275415,126.9011876
35.1225096,126.9093754
35.1422708,126.9097301
35.1437409,126.8950275
35.1469015,126.8997042
35.1460006,126.8910915
35.1328052,126.7621561
35.1317112,126.7872725
35.1235338,126.8944575
35.1330504,126.907003
35.1368718,126.7972045
35.1469309,126.8886594
35.1413508,126.9010708
35.0862054,126.9536428
35.1275415,126.9011876
35.1452512,126.9050703
35.1280962,126.931102
35.2038994,126.8371951
35.1281583,126.8429315
35.1460006,126.8910915
35.1327179,126.7970327
35.143016,126.7945435
35.1464597,126.9017039
35.2119282,126.8141112
35.1514466,126.784208
35.1352811,126.8950592
35.1494077,126.903109
35.182602,126.6873591
35.1181573,126.8755466
35.1483587,126.9154424
35.1284743,126.9339956
35.1501842,126.919778
35.1413508,126.9010708
35.1346508,126.8936749
35.0805374,126.8334389
35.1016722,126.7593516
35.1456212,126.8918404
35.1552945,126.9168799
35.1426692,126.9001527
35.1592801,126.93145
35.1681501,126.8100458
35.1368718,126.7972045
35.0805374,126.8334389
35.1500217,126.9002521
35.1876142,126.8020483
35.0577807,126.7838251
35.2108627,126.6868377
35.1728141,126.807949
35.1387311,126.9002419
35.1225096,126.9093754
35.1375522,126.7994153
35.1098923,126.8864838
35.1328052,126.7621561
35.1602219,126.9202578
35.1483587,126.9154424
35.1327179,126.7970327
35.1000279,126.7700218
35.2038994,126.8371951
35.1503401,126.911411
35.1509243,126.8951239
35.1548302,126.9157762
35.201842,126.8274132
35.1319781,126.9327572
35.0879182,126.8655494
35.1530518,126.9305547
35.1532951,126.9355686
35.1758494,126.7355297
35.1444069,126.9153571
35.2307974,126.8589039
35.1548302,126.9157762
35.1706227,126.8095713
35.1499569,126.9107044
35.1426692,126.9001527
35.143016,126.7945435
35.145964,126.8946379
35.1398975,126.8934356
35.1758494,126.7355297
35.1500217,126.9002521
35.1563323,126.9338018
35.1563323,126.9338018
35.1306934,126.8971538
35.15323,126.9266367
35.1706227,126.8095713
35.1368718,126.7972045
35.1379235,126.9038105
35.1573192,126.934433
35.1300588,126.9337509
35.1238449,126.757291
35.1308587,126.9334316
